cumulative_density,race_group_cumulative_density,oof_cumulative_density,oof_race_group_cumulative_density
0.4133845465712915,0.48194282049986004,0.41526352594143984,0.4864404284287091
0.00031254695554351364,0.00041395434107616635,0.00030386174254047507,0.00025967281225655663
0.05264882499598586,0.07586591759408802,0.053251807737192194,0.07553359077768029
1.5856364254035287,1.143412015848286,1.5716229762382852,1.1835722424241637
0.028170429772927757,0.033149459397746384,0.028160282639541172,0.03339254781048278
0.0012857408722386627,0.0004140587379318652,0.0013031168829894875,0.0005194486692798815
0.494748079402939,0.5689774627316608,0.4944640836900026,0.56636482644311
0.039832688760628315,0.05816495734469489,0.038860807119712806,0.0568737958397792
0.004635056075465412,0.0065040808715770915,0.004617515473974704,0.006326942922875688
0.00045149284862725186,0.00041758514172667596,0.00047754461044720444,0.00026191723415400713
0.00045149284862725186,0.0,0.00047754461044720444,0.0
0.00045149284862725186,0.0008500961983747181,0.00043412305430263137,0.0007905442622418223
1.3791389313014417,1.460630289220994,1.3716590443169705,1.4227861745648815
0.0004167541496943673,0.00020639834881320962,0.00039069846654703547,0.00025813113061435195
0.008394723996271931,0.014400970409311499,0.008702425950617954,0.014574875713315436
2.1251363634146494,1.5904292086116583,2.1403643440335474,1.527355968275576
0.41868571798846455,0.454786064168948,0.41759077618443063,0.45341098987379747
0.00045149284862725186,0.00041284135326225056,0.00043412305430263137,0.00025779840164990995
0.004565056429366521,0.007052583981958658,0.004092965957251719,0.0054308690584824685
1.1773491048427709,1.2674264997105895,1.1678126087191472,1.2724860885649134
0.8371782661925423,0.9021399483108644,0.8308044296924543,0.9037900761749935
0.12358262457393382,0.15472555508360508,0.12354118804612714,0.15365894937775343
0.002992627088402471,0.0029255648598908875,0.002914179142362183,0.002604921327112358
0.10301231773318152,0.13568704881372287,0.10230691859493206,0.1350324483389593
0.0012857408722386627,0.0004140587379318652,0.0013900842853392806,0.00025866528711846864
0.0038655975934746988,0.0062186983887215705,0.0038306292919481942,0.0062140821651018325
6.944570707070703e-05,0.0,8.680753002456547e-05,0.0
1.634418145875373,1.8289668191730208,1.6346826914525663,1.820938783578055
0.0006599588028328645,0.000621005185286321,0.0005644007399878421,0.00025967281225655663
0.002295305969741893,0.001035298371595543,0.0025653385582680714,0.0013025814913136845
0.041041703301139716,0.05174245608020503,0.04003893295437925,0.0515161617249226
0.0001041704603569945,0.0,0.00013021426045282773,0.0
0.0002083525939207138,0.00020855057351407705,0.0002170338749721832,0.0002607561929595827
